State,County,State Code,County Code,Date,AQI,Category,Parameter
Kentucky,Perry,21,193,6/7,92,Moderate,PM2.5
North Carolina,Cumberland,37,51,6/7,91,Moderate,PM2.5
North Carolina,Forsyth,37,67,6/7,91,Moderate,PM2.5
Rhode Island,Providence,44,7,6/7,91,Moderate,PM2.5
Illinois,Saint Clair,17,163,6/7,90,Moderate,PM2.5
Kentucky,Warren,21,227,6/7,90,Moderate,PM2.5
Massachusetts,Worcester,25,27,6/7,90,Moderate,PM2.5
Ohio,Lake,39,85,6/7,90,Moderate,PM2.5
Kentucky,Jefferson,21,111,6/7,89,Moderate,PM2.5
Kentucky,Carter,21,43,6/7,88,Moderate,PM2.5
North Carolina,Pitt,37,147,6/7,88,Moderate,PM2.5
Ohio,Jefferson,39,81,6/7,88,Moderate,PM2.5
Virginia,Roanoke,51,161,6/7,88,Moderate,PM2.5
Indiana,St. Joseph,18,141,6/7,87,Moderate,PM2.5
North Carolina,Davidson,37,57,6/7,87,Moderate,PM2.5
Georgia,Walker,13,295,6/7,86,Moderate,PM2.5
Indiana,Hamilton,18,57,6/7,86,Moderate,PM2.5
Michigan,Kalamazoo,26,77,6/7,86,Moderate,PM2.5
Pennsylvania,Armstrong,42,5,6/7,86,Moderate,PM2.5
Georgia,Hall,13,139,6/7,84,Moderate,PM2.5
Illinois,Hamilton,17,65,6/7,84,Moderate,PM2.5
Kentucky,Daviess,21,59,6/7,84,Moderate,PM2.5
Kentucky,Fayette,21,67,6/7,84,Moderate,PM2.5
Indiana,Vigo,18,167,6/7,83,Moderate,PM2.5
Michigan,Ottawa,26,139,6/7,83,Moderate,PM2.5
New York,Essex,36,31,6/7,83,Moderate,PM2.5
North Carolina,Rowan,37,159,6/7,83,Moderate,PM2.5
Tennessee,Sumner,47,165,6/7,83,Moderate,PM2.5
Kentucky,Bell,21,13,6/7,82,Moderate,PM2.5
Kentucky,Christian,21,47,6/7,81,Moderate,PM2.5
North Carolina,Mecklenburg,37,119,6/7,81,Moderate,PM2.5
Tennessee,Loudon,47,105,6/7,81,Moderate,PM2.5
